Date,Close,High,Low,Open,Volume
2023-01-02,3063.029541015625,3068.1011528616104,3038.376541075286,3062.6069640170194,709547
2023-01-03,3109.893798828125,3118.017457416305,3047.862110481952,3054.1544492523567,1245178
2023-01-04,3112.9931640625,3124.920704633864,3086.274051599571,3105.526872181967,1231668
2023-01-05,3109.658935546875,3134.264930494048,3082.282229674466,3127.5967895533245,1826057
2023-01-06,3016.16552734375,3100.690100628849,3005.31816124798,3099.234353786979,2488376
2023-01-09,3117.970703125,3124.591840800264,3025.181455623038,3032.5539687237906,2885060
2023-01-10,3086.4619140625,3097.356285009227,3033.5872767387823,3085.1471789737147,3864655
2023-01-11,3126.188232421875,3145.7228461852437,3072.139418151772,3089.936719938368,2720512
2023-01-12,3131.49462890625,3146.1924211887126,3113.8383390134068,3126.470020936485,2250391
2023-01-13,3169.2490234375,3173.428248282812,3103.9302635616136,3139.5244099673005,1742837
2023-01-16,3194.640869140625,3212.7984515389967,3160.146164620672,3178.3037470190434,1843607
2023-01-17,3237.136474609375,3240.39444836078,3182.136675033528,3190.7603516596346,1688475
2023-01-18,3248.25146484375,3266.40904792716,3231.243658501279,3238.669602115597,2421189
2023-01-19,3232.058349609375,3245.3770458022595,3220.464201636077,3238.669741603672,1585044
2023-01-20,3222.47607421875,3252.7066614149494,3215.289677782473,3224.296534409737,1529349
2023-01-23,3272.1103515625,3276.0390090245314,3215.2900902627675,3246.3352332773065,1067916
2023-01-24,3292.61572265625,3307.611245102737,3274.41018244104,3281.7881703733938,1387863
2023-01-25,3286.33935546875,3291.36983338003,3262.624245315575,3282.075473358961,874110
2023-01-27,3268.4208984375,3301.909457436736,3240.8730467540104,3282.745734526482,1785879
2023-01-30,3290.075927734375,3313.838992105136,3243.987312214404,3276.9967797739373,1953798
2023-01-31,3218.26025390625,3304.784522907401,3210.8822662402727,3304.784522907401,2820375
2023-02-01,3265.834228515625,3276.038818598224,3214.714898039497,3222.3803881093377,2205161
2023-02-02,3315.70751953125,3323.948014639407,3277.092801808168,3283.704193188022,1813847
2023-02-03,3336.691650390625,3357.4842428938027,3308.520837445403,3357.4842428938027,1804469
2023-02-06,3315.276123046875,3327.9241334409794,3293.142163340234,3327.9241334409794,1138714
2023-02-07,3327.349365234375,3346.944225234673,3316.6654492920907,3323.8518454241434,1455647
2023-02-08,3372.911376953125,3391.8832767966505,3332.61959996978,3332.61959996978,1986946
2023-02-09,3392.793701171875,3399.2614580244085,3358.7301349620966,3368.024494319301,1655427
2023-02-10,3389.631591796875,3394.2309322798087,3361.460777546514,3372.815377432616,1187821
2023-02-13,3336.787353515625,3400.602644646524,3328.163678169945,3400.602644646524,1087939
2023-02-14,3353.748046875,3377.463158398736,3348.861203048741,3358.4430662906543,1579818
2023-02-15,3373.438232421875,3378.564622287782,3315.4679659305502,3341.195359590896,1429449
2023-02-16,3409.2744140625,3425.5156231677274,3379.522686129392,3379.714276580616,1618931
2023-02-17,3354.75341796875,3390.9249459126245,3344.0697357383283,3378.7080722362166,1061369
2023-02-20,3341.48291015625,3374.731925784555,3329.7451287562326,3355.568201049833,1296082
2023-02-21,3306.70068359375,3362.179572802701,3300.7120196492524,3347.9026915318927,1139541
2023-02-22,3259.318359375,3302.867875966186,3253.042192893879,3272.157961055376,1218430
2023-02-23,3271.05615234375,3308.041999937605,3265.498625502175,3277.955046315417,1441570
2023-02-24,3258.264404296875,3290.363643842021,3240.873417340068,3279.3924580078046,977592
2023-02-27,3192.53271484375,3248.251147593165,3177.3453703300693,3248.251147593165,1128022
2023-02-28,3174.327392578125,3250.1677402314644,3161.918693570347,3189.3229137265416,4116217
2023-03-01,3244.131103515625,3247.2931648916588,3176.387383185556,3184.0528730997294,1669307
2023-03-02,3182.567626953125,3228.991703303475,3179.261931225178,3220.463939375474,1556538
2023-03-03,3202.40185546875,3217.589200030447,3191.814085300512,3213.7564553014054,1043190
2023-03-06,3230.8603515625,3262.576175596461,3218.5475648641404,3221.32621137406,1334132
2023-03-08,3248.634521484375,3254.000457979713,3191.5747182671407,3223.3384984227782,1844590
2023-03-09,3197.323486328125,3243.460054984958,3191.5743695393776,3243.460054984958,1648500
2023-03-10,3191.71826171875,3197.7069255241363,3152.432627155415,3174.374997765479,1024404
2023-03-13,3144.719482421875,3228.8962425012387,3135.1855755174847,3193.634939853232,1901233
2023-03-14,3080.5205078125,3166.230211911423,3075.2025279079708,3142.850563487613,2670334
2023-03-15,3065.1416015625,3124.0223280080145,3058.530210657442,3114.10500771826,1780522
2023-03-16,3051.822998046875,3085.1679240584376,3039.366577646684,3073.861280293368,1901060
2023-03-17,3046.361328125,3086.700825404283,3012.5373096368544,3018.765519723572,6739966
2023-03-20,3011.86669921875,3037.1147649777254,2965.6342155296784,3037.1147649777254,2289468
2023-03-21,2976.22216796875,3024.7542040981293,2967.9337172062005,3011.866646847145,1815297
2023-03-22,2999.8896484375,3012.058567391756,2976.2224941377053,2999.171008728404,1123939
2023-03-23,2993.996337890625,3014.7891650321244,2971.3353284266377,2984.654022685156,1372218
2023-03-24,2990.020263671875,3037.4504841659486,2976.126562719065,3017.2326602410512,1329577
2023-03-27,2991.7451171875,3020.9218430986584,2976.1266337846114,3003.9140363537526,1524217
2023-03-28,2985.6123046875,3017.855410867746,2980.102734004873,2996.248265143356,1303530
2023-03-29,3007.65087890625,3018.286840392896,2974.306182862909,2998.16492812361,1740616
2023-03-31,3071.848876953125,3078.6520921738074,3020.202737171441,3056.5658546856607,2382581
2023-04-03,3066.196044921875,3090.1027454231867,3041.043655490875,3090.1027454231867,1521830
2023-04-05,3104.33154296875,3127.855059793851,3052.301988113084,3052.301988113084,2655065
2023-04-06,3086.0302734375,3121.147938321354,3080.5686588381263,3090.150520918494,1703464
2023-04-10,3126.94482421875,3135.18531930324,3080.568704633225,3085.3596357446304,2203187
2023-04-11,3079.419189453125,3136.095815741073,3058.6743156198054,3127.520095109857,2348779
2023-04-12,3106.104248046875,3124.5972887695048,3065.237699579403,3092.977143697257,2417727
2023-04-13,3055.51220703125,3094.941476228282,3047.0321654507547,3075.7777519172714,4174070
2023-04-17,3008.225830078125,3031.126388627835,2941.871430099495,3003.051717732093,5505048
2023-04-18,2999.84130859375,3024.8500608440254,2980.5339511187326,3023.0293667879023,2617302
2023-04-19,2960.412109375,3008.7045991774635,2943.068845978847,2999.8413770302054,3298034
2023-04-20,2974.976318359375,2982.8333977733096,2949.2968835034526,2960.7951169674034,2419999
2023-04-21,3028.682861328125,3032.1321911948435,2971.14373479931,2979.959000812708,1929184
2023-04-24,3042.0498046875,3047.942556651693,2995.4339024780243,3019.340836965228,1640676
2023-04-25,3043.19970703125,3057.764092092062,3015.891397317651,3049.9070111714323,2024090
2023-04-26,3064.42333984375,3074.244749156171,3047.990538810968,3047.990538810968,2000029
2023-04-27,3054.649658203125,3065.429252983825,3038.07299010948,3051.8230556915105,2434446
2023-04-28,3084.64111328125,3092.306603350754,3062.6028293314266,3066.579208732105,2931312
2023-05-02,3084.78466796875,3099.732466791065,3075.777810942602,3099.732466791065,2321159
2023-05-03,3046.9365234375,3081.527142459004,3040.468765909018,3081.527142459004,2468285
2023-05-04,3086.0302734375,3089.6234717176376,3045.115769140767,3047.175775915174,1953253
2023-05-05,3095.6123046875,3108.356228737257,3075.8258519831197,3085.35975848766,1710027
2023-05-08,3114.680419921875,3118.7527116178644,3096.1873779042367,3109.314483173104,928235
2023-05-09,3145.96533203125,3160.098580686534,3110.272890511974,3116.597013991631,1107375
2023-05-10,3149.366455078125,3168.242676468441,3129.484091389415,3152.4326041376594,1559987
2023-05-11,3144.910888671875,3171.308966493105,3135.185391863511,3170.6382829084228,1719623
2023-05-12,3137.38916015625,3152.4326368954244,3123.687050540755,3142.03622292428,1027479
2023-05-15,3118.944091796875,3154.349025721376,3112.524290930719,3146.6835359869374,1150390
2023-05-16,3121.91455078125,3147.641946105402,3114.5365631734703,3120.046134312011,986306
2023-05-17,3074.5322265625,3142.850954151064,3064.519226863915,3119.8065276550724,1588815
2023-05-18,3066.052490234375,3093.9355708831804,3061.405193160141,3091.0610120163637,1369364
2023-05-19,3088.090576171875,3099.253352146848,3069.118442085235,3075.7777895784147,1152449
2023-05-22,3160.769287109375,3170.111604084391,3082.533464681233,3094.941931210323,1333243
2023-05-23,3159.18798828125,3188.7958495140924,3152.5286407020003,3167.7637083398345,1687418
2023-05-24,3165.224609375,3178.4953484392604,3139.0181221389685,3139.0181221389685,1016555
2023-05-25,3155.786376953125,3167.763704936096,3130.490353825965,3156.265470072444,1374917
2023-05-26,3189.705810546875,3199.04812559544,3153.3906487001927,3155.7861140972605,1791115
2023-05-29,3181.513916015625,3231.0041439236643,3173.512966985521,3220.272504348317,1210372
2023-05-30,3177.536865234375,3187.8373663513835,3163.3079412599463,3176.3870886403047,1344224
2023-05-31,3151.953369140625,3188.5560336176577,3128.6214426026954,3170.63799923585,5815424
2023-06-01,3185.010986328125,3200.341965805035,3159.619051569492,3175.429124155056,1177314
2023-06-02,3167.380615234375,3196.413471955495,3159.5712568052554,3187.167068059219,2030661
2023-06-05,3151.37841796875,3187.885404815885,3147.689541553619,3176.387170713754,1861468
2023-06-06,3097.1455078125,3151.330987826369,3085.934775310505,3142.850945817369,2022849
2023-06-07,3137.9638671875,3141.7488897923395,3105.481448845571,3116.979683151694,1567196
2023-06-08,3101.1220703125,3133.2692681529265,3097.816374293092,3124.6455912681017,1759366
2023-06-09,3075.107421875,3114.105558544796,3071.3226326749027,3109.3146269162658,1775689
2023-06-12,3111.134765625,3118.3211623246166,3076.735973662377,3080.56871856884,2324605
2023-06-13,3108.068603515625,3128.478016843799,3103.5651750557627,3123.687085730715,1371928
2023-06-14,3115.111328125,3119.710668724335,3090.9650823937163,3108.068565901126,1658544
2023-06-15,3104.734130859375,3134.803516025978,3098.652615974006,3132.728188760698,2273810
2023-06-16,3064.770263671875,3088.420417619888,3046.5259534664838,3086.103762114178,4156189
2023-06-19,3099.03857421875,3103.382479653648,3064.866612399673,3079.346297182664,1468186
2023-06-20,3115.73876953125,3120.372316160639,3090.0132884788686,3102.514036857013,1528452
2023-06-21,3145.180419921875,3148.269372079912,3112.118474370136,3137.264906369424,1645987
2023-06-22,3126.1640625,3154.3028233869586,3118.0555329846256,3146.918278138027,1529603
2023-06-23,3104.782470703125,3136.685855328041,3097.8320332466496,3125.005717298053,1119505
2023-06-26,3079.00830078125,3102.4171241881954,3062.9359451644364,3093.82593893855,1978803
2023-06-27,3086.441650390625,3098.3148041960208,3071.91365185284,3090.930258714912,863542
2023-06-28,3103.913330078125,3118.875670449393,3082.628147125255,3096.721800711485,1575872
2023-06-30,3187.70263671875,3195.18380726446,3102.610449232136,3108.305697701378,2672406
2023-07-03,3158.791748046875,3203.67877371458,3155.3648419636565,3199.334868004802,1687264
2023-07-04,3194.073974609375,3200.010551499478,3163.6183217736816,3175.877741910492,1656681
2023-07-05,3204.788818359375,3213.524942613219,3190.3574452798707,3204.837131113213,1453008
2023-07-06,3207.636474609375,3212.994005555281,3187.461539750127,3191.8537582975628,1848238
2023-07-07,3213.766357421875,3240.4571514260333,3187.4615941149004,3187.4615941149004,1789326
2023-07-10,3158.45361328125,3209.4221511535634,3151.9377550903223,3209.4221511535634,1407431
2023-07-11,3158.88818359375,3180.704337965122,3147.690701227465,3180.704337965122,1110172
2023-07-12,3146.821533203125,3175.0569185227832,3137.3616610182034,3167.1414046444834,1515240
2023-07-13,3224.67431640625,3250.6411251454747,3159.226089943114,3170.085854212264,4585146
2023-07-14,3392.73486328125,3402.581237517819,3235.726908143828,3248.2759683484437,6306101
2023-07-17,3370.5810546875,3426.762185811846,3356.439323157477,3388.246317666134,2743228
2023-07-18,3375.552978515625,3401.7611176017926,3344.8076823184483,3355.4261194051733,2600090
2023-07-19,3349.68212890625,3394.85879350348,3326.1283664327066,3378.5931863233973,2405370
2023-07-20,3351.860107421875,3366.957998434333,3325.48694118173,3341.988364012803,1715404
2023-07-21,3259.916748046875,3324.3735882172123,3250.964389443928,3294.516404269076,3770223
2023-07-24,3285.515625,3303.6138595568696,3263.5945386003787,3272.208064842772,1680132
2023-07-25,3289.77392578125,3297.177910058422,3271.433735718706,3288.1771130879315,1272980
2023-07-26,3279.273193359375,3310.775864618234,3276.079331687476,3290.935502343613,1066803
2023-07-27,3287.596435546875,3301.871818636868,3276.127879716648,3285.709228768211,1701769
2023-07-28,3247.431640625,3284.499290986156,3223.8168652761938,3276.0792821855043,2599831
2023-07-31,3311.3564453125,3316.389075359419,3252.754742142087,3256.142121096622,2743678
2023-08-01,3340.9716796875,3348.6658212394595,3305.1138091135126,3305.1138091135126,1956167
2023-08-02,3329.938720703125,3335.503700630609,3303.7593085068984,3324.422179162408,1914899
2023-08-03,3290.548095703125,3322.7766325439216,3259.626213764779,3309.952984286088,2026351
2023-08-04,3332.745361328125,3359.3120428456136,3291.806420549883,3291.806420549883,2248493
2023-08-07,3371.9423828125,3375.7652348323686,3330.519528201516,3342.8108279865173,1853889
2023-08-08,3358.925048828125,3377.6522734682326,3345.375533078572,3371.9422149162706,1634225
2023-08-09,3351.085205078125,3355.4404060666743,3314.840301885932,3353.4078844247742,1794589
2023-08-10,3331.342041015625,3353.408205777693,3319.6797322161924,3338.987744525401,1096701
2023-08-11,3337.826416015625,3355.101906546515,3304.146144439249,3327.4707621169023,1679974
2023-08-14,3338.843017578125,3343.8272096429687,3301.2430136301496,3329.9872986818377,1190425
2023-08-16,3347.117431640625,3354.4729775768155,3324.6639956085546,3338.9878166878284,1328445
