Date,Close,High,Low,Open,Volume
2023-01-02,1447.292724609375,1449.6668924647054,1428.346911494305,1437.7960531880535,3801140
2023-01-03,1445.9156494140625,1455.5072636730797,1438.8405601593934,1443.351478759411,4551130
2023-01-04,1419.5623779296875,1444.443608711253,1416.04854022657,1444.443608711253,7059590
2023-01-05,1400.9488525390625,1430.1037019188648,1395.2983796928015,1430.1037019188648,9868404
2023-01-06,1375.5927734375,1400.7589512049103,1373.6934392663748,1396.010615777097,6443714
2023-01-09,1409.7332763671875,1414.3866683296867,1375.3078440863833,1375.3078440863833,11498717
2023-01-10,1395.773193359375,1409.211005750958,1380.863466546819,1407.4066151104566,7158624
2023-01-11,1397.1976318359375,1418.8025569841227,1390.3125457997023,1396.010548036587,6173092
2023-01-12,1406.0771484375,1410.2557070510322,1381.765692767173,1407.3591758950406,6591385
2023-01-13,1427.967041015625,1442.9242987091234,1394.1113837495527,1408.8312246542653,11610426
2023-01-16,1448.71728515625,1451.0914531096362,1426.685052919294,1433.9974438452557,6073063
2023-01-17,1462.0125732421875,1464.5766281693857,1447.2927324593009,1450.1417339011498,5922644
2023-01-18,1467.61572265625,1473.741029761637,1462.1076064935382,1466.998415787402,5843098
2023-01-19,1461.4427490234375,1471.5567270011688,1449.3344932859384,1462.392416140104,6165284
2023-01-20,1448.7646484375,1467.2356266222496,1447.292618105054,1460.5879571165178,6496429
2023-01-23,1470.084716796875,1475.1179989548232,1451.186317730339,1457.7390441105963,4855020
2023-01-24,1473.7884521484375,1489.8378499386567,1471.746644619967,1481.4807327679614,5200802
2023-01-25,1465.3363037109375,1477.6819757447952,1461.3002186229455,1469.1349720290475,4158617
2023-01-27,1442.686767578125,1472.8861111624722,1431.5281793895876,1468.1853054875512,6209955
2023-01-30,1461.347900390625,1466.2861233474937,1443.4941110674806,1451.8512286072864,6964719
2023-01-31,1456.5518798828125,1470.9393592898691,1436.846288027837,1470.9393592898691,9448126
2023-02-01,1473.028564453125,1476.7798189235057,1451.1388081142504,1464.5765043715096,6194199
2023-02-02,1504.0352783203125,1507.0741666874171,1473.8833477209946,1473.8833477209946,6916834
2023-02-03,1518.897705078125,1523.8834577540897,1493.8264684366122,1517.09331425778,7040194
2023-02-06,1490.8348388671875,1517.5679902919169,1483.000085475505,1517.5679902919169,4570612
2023-02-07,1483.7598876953125,1496.7228666860758,1476.8272715533924,1490.0276673171509,4336238
2023-02-08,1510.445556640625,1522.3163956585488,1486.7038786047774,1486.7038786047774,7983338
2023-02-09,1535.61181640625,1538.2234011280293,1506.219663817055,1515.8586928674154,6904911
2023-02-10,1527.5870361328125,1534.9469560424566,1516.09597166199,1531.7654785663938,4786762
2023-02-13,1488.5556640625,1516.618373512038,1487.1786931245158,1516.618373512038,4001199
2023-02-14,1513.05712890625,1515.6687134689314,1498.717178674577,1504.9374287136304,5043736
2023-02-15,1516.666015625,1518.517820254843,1496.6754751229723,1504.2728125601448,3465747
2023-02-16,1521.1768798828125,1533.190076531274,1517.425625102757,1519.4674326506145,4290289
2023-02-17,1504.082763671875,1514.7189885691075,1496.200480558388,1513.7693214916346,2857734
2023-02-20,1512.2972412109375,1522.3162749178823,1502.848100472582,1505.174738365096,2417716
2023-02-21,1499.9991455078125,1521.034294411941,1496.675310744104,1518.2327069839785,2723288
2023-02-22,1483.190185546875,1495.7257454237704,1477.0173491371895,1484.3297397443512,3656244
2023-02-23,1472.648681640625,1490.834829247996,1470.2271001636057,1490.834829247996,4766854
2023-02-24,1472.6014404296875,1490.027810051622,1467.235797660775,1481.4808054050543,2790986
2023-02-27,1433.3326416015625,1462.4873760391506,1426.4000252018209,1462.4873760391506,4920268
2023-02-28,1412.6773681640625,1447.2926882548102,1406.7419486748286,1439.3154612760477,9679811
2023-03-01,1420.7493896484375,1425.3077217823532,1406.931688156361,1417.28308184507,5125043
2023-03-02,1398.0523681640625,1413.6743447361694,1393.446506165618,1410.2555665479504,4644499
2023-03-03,1404.8426513671875,1414.8141563712202,1398.859701994302,1411.9176252138686,4615015
2023-03-06,1431.57568359375,1443.8739426104837,1417.9955130496191,1419.3250702306395,6561742
2023-03-08,1417.5679931640625,1420.70194087469,1406.5518783050784,1415.5263016985166,4137080
2023-03-09,1405.8873291015625,1422.933808765408,1400.3792130375557,1419.7524468690292,5104656
2023-03-10,1397.4827880859375,1400.0943728365187,1384.282391070494,1386.5140857630292,3699580
2023-03-13,1362.8671875,1403.8928744353898,1356.124574495513,1390.5024760219253,8798403
2023-03-14,1348.5272216796875,1375.4502595751744,1339.9802181619991,1368.4702298876266,7402784
2023-03-15,1348.195068359375,1370.227301105618,1345.5359538196478,1365.6214383548156,7556182
2023-03-16,1333.427490234375,1346.4379984581458,1328.299264946398,1346.4379984581458,7323117
2023-03-17,1349.1920166015625,1370.274695996056,1340.3601820356007,1358.023967093685,9090018
2023-03-20,1333.000244140625,1348.2423314946534,1315.1464563431948,1348.2423314946534,8221829
2023-03-21,1320.701904296875,1334.282189320203,1320.0371837402724,1328.584187088231,8536755
2023-03-22,1319.3250732421875,1336.4190817491944,1312.5824597385454,1332.3829964072622,8356487
2023-03-23,1305.364990234375,1314.2917684492638,1301.0439584544445,1314.2917684492638,7607718
2023-03-24,1311.157958984375,1328.536798076867,1308.166484310519,1318.1379892725956,7559127
2023-03-27,1319.0400390625,1325.4978215508531,1304.9375061667497,1316.4759843273296,4170193
